iter	Passed	Remaining
478	697	758
479	699	757
480	700	756
481	702	754
482	703	753
483	705	751
484	706	750
485	707	748
486	709	747
487	710	745
488	711	744
489	713	742
490	714	740
491	716	739
492	717	738
493	719	737
494	721	736
495	723	735
496	724	733
497	726	732
498	728	731
499	730	730
500	732	729
501	733	728
502	735	726
503	737	725
504	738	724
505	740	722
506	741	721
507	743	719
508	744	718
509	746	717
510	747	715
511	749	714
512	751	713
513	753	712
514	754	710
515	756	709
516	757	707
517	759	706
518	760	704
519	762	703
520	763	702
521	765	700
522	766	699
523	768	697
524	769	696
525	771	695
526	772	693
527	774	692
528	775	690
529	777	689
530	778	687
531	780	686
532	781	685
533	783	683
534	784	682
535	786	680
536	787	679
537	788	677
538	790	675
539	791	674
540	793	672
541	794	671
542	796	669
543	797	668
544	798	666
545	800	665
546	801	664
547	803	662
548	805	661
549	806	660
550	808	658
551	809	657
552	811	655
553	812	654
554	814	652
555	815	651
556	817	649
557	818	648
558	820	646
559	821	645
560	823	644
561	824	642
562	826	641
563	827	640
564	829	638
565	831	637
566	832	635
567	834	634
568	835	633
569	837	631
570	838	630
571	840	628
572	842	627
573	843	626
574	845	624
575	846	623
576	848	621
577	849	620
578	851	619
579	852	617
580	854	616
581	855	614
582	857	613
583	858	611
584	859	610
585	861	608
586	862	607
587	864	605
588	865	604
589	867	602
590	868	601
591	870	599
592	871	598
593	873	596
594	874	595
595	876	593
596	877	592
597	879	591
598	880	589
599	882	588
600	883	586
601	885	585
602	886	583
603	888	582
604	889	580
605	891	579
606	892	577
607	894	576
608	895	575
609	897	573
610	899	572
611	900	571
612	902	569
613	904	568
614	905	567
615	907	565
616	909	564
617	910	562
618	911	561
619	913	559
620	914	558
621	916	556
622	917	555
623	919	553
624	921	552
625	922	551
626	924	549
627	925	548
628	926	546
629	928	545
630	930	543
631	931	542
632	932	540
633	934	539
634	936	538
635	937	536
636	939	535
637	941	533
638	942	532
639	944	531
640	945	529
641	947	528
642	948	526
643	950	525
644	951	523
645	953	522
646	954	521
647	956	519
648	958	518
649	959	516
650	961	515
651	962	513
652	964	512
653	965	510
654	967	509
655	968	508
656	970	506
657	971	505
658	973	503
659	974	502
660	976	500
661	978	499
662	979	497
663	980	496
664	982	494
665	984	493
666	985	492
667	987	490
668	989	489
669	990	488
670	992	486
671	993	485
672	995	483
673	996	482
674	998	480
675	999	479
676	1001	477
677	1003	476
678	1004	474
679	1006	473
680	1007	472
681	1009	470
682	1010	469
683	1012	467
684	1013	466
685	1015	464
686	1016	463
687	1018	461
688	1020	460
689	1021	459
690	1023	457
691	1024	456
692	1026	454
693	1027	453
694	1029	451
695	1030	450
696	1032	448
697	1033	447
698	1035	445
699	1036	444
700	1038	442
701	1039	441
702	1041	439
703	1042	438
704	1043	436
705	1045	435
706	1046	433
707	1048	432
708	1049	430
709	1051	429
710	1052	427
711	1053	426
712	1055	424
713	1056	423
714	1058	421
715	1059	420
716	1060	418
717	1062	417
718	1064	415
719	1065	414
720	1067	412
721	1068	411
722	1070	409
723	1071	408
724	1073	407
725	1074	405
726	1076	404
727	1077	402
728	1079	401
729	1081	399
730	1083	398
731	1084	397
732	1086	395
733	1087	394
734	1089	392
735	1090	391
736	1092	389
737	1094	388
738	1095	387
739	1097	385
740	1099	384
741	1100	382
742	1102	381
743	1103	379
744	1105	378
745	1106	376
746	1108	375
747	1110	373
748	1111	372
749	1113	371
750	1114	369
751	1116	368
752	1117	366
753	1119	365
754	1120	363
755	1122	362
756	1124	360
757	1125	359
758	1127	357
759	1128	356
760	1130	354
761	1131	353
762	1133	352
763	1135	350
764	1136	349
765	1138	347
766	1139	346
767	1141	344
768	1142	343
769	1144	341
770	1145	340
771	1147	338
772	1148	337
773	1150	335
774	1151	334
775	1152	332
776	1154	331
777	1155	329
778	1157	328
779	1158	326
780	1160	325
781	1161	323
782	1163	322
783	1164	320
784	1165	319
785	1167	317
786	1169	316
787	1170	314
788	1172	313
789	1174	312
790	1176	310
791	1177	309
792	1179	307
793	1180	306
794	1182	304
795	1183	303
796	1185	301
797	1186	300
798	1188	298
799	1189	297
800	1190	295
801	1192	294
802	1193	292
803	1195	291
804	1196	289
805	1198	288
806	1199	286
807	1201	285
808	1202	283
809	1203	282
810	1205	280
811	1207	279
812	1208	277
813	1209	276
814	1211	274
815	1212	273
816	1214	272
817	1215	270
818	1217	269
819	1219	267
820	1220	266
821	1222	264
822	1223	263
823	1225	261
824	1226	260
825	1228	258
826	1229	257
827	1231	255
828	1233	254
829	1234	252
830	1236	251
831	1237	249
832	1239	248
833	1240	246
834	1242	245
835	1244	244
836	1245	242
837	1247	241
838	1248	239
839	1250	238
840	1252	236
841	1253	235
842	1255	233
843	1256	232
844	1258	230
845	1259	229
846	1261	227
847	1263	226
848	1264	224
849	1266	223
850	1267	221
851	1269	220
852	1270	218
853	1272	217
854	1273	216
855	1275	214
856	1277	213
857	1278	211
858	1280	210
859	1281	208
860	1283	207
861	1285	205
862	1286	204
863	1288	202
864	1289	201
865	1290	199
866	1292	198
867	1294	196
868	1295	195
869	1297	193
870	1298	192
871	1300	190
872	1302	189
873	1303	187
874	1305	186
875	1306	184
876	1308	183
877	1310	182
878	1311	180
879	1313	179
880	1314	177
881	1316	176
882	1317	174
883	1319	173
884	1320	171
885	1322	170
886	1323	168
887	1325	167
888	1326	165
889	1328	164
890	1330	162
891	1331	161
892	1333	159
893	1334	158
894	1336	156
895	1337	155
896	1339	153
897	1340	152
898	1342	150
899	1343	149
900	1345	147
901	1347	146
902	1348	144
903	1350	143
904	1351	141
905	1353	140
906	1355	138
907	1356	137
908	1358	135
909	1359	134
910	1361	132
911	1362	131
912	1364	129
913	1365	128
914	1367	127
915	1368	125
916	1370	124
917	1371	122
918	1373	121
919	1374	119
920	1376	118
921	1377	116
922	1378	115
923	1380	113
924	1382	112
925	1383	110
926	1385	109
927	1386	107
928	1387	106
929	1389	104
930	1390	103
931	1392	101
932	1393	100
933	1395	98
934	1396	97
935	1398	95
936	1399	94
937	1401	92
938	1403	91
939	1404	89
940	1405	88
941	1407	86
942	1408	85
943	1410	83
944	1411	82
945	1413	80
946	1414	79
947	1416	77
948	1417	76
949	1418	74
950	1420	73
951	1421	71
952	1423	70
953	1424	68
954	1426	67
955	1427	65
956	1428	64
957	1430	62
958	1431	61
959	1433	59
960	1434	58
961	1436	56
962	1437	55
963	1439	53
964	1440	52
965	1442	50
966	1443	49
967	1445	47
968	1446	46
969	1448	44
970	1450	43
971	1451	41
972	1452	40
973	1454	38
974	1456	37
975	1457	35
976	1459	34
977	1460	32
978	1462	31
979	1463	29
980	1465	28
981	1467	26
982	1468	25
983	1469	23
984	1471	22
985	1473	20
986	1475	19
987	1476	17
988	1478	16
989	1479	14
990	1481	13
991	1483	11
992	1484	10
993	1486	8
994	1487	7
995	1489	5
996	1490	4
997	1492	2
998	1493	1
999	1495	0
