iter	Logloss
0	0.6871223466
1	0.6819985422
2	0.6765763372
3	0.6715667028
4	0.6664090554
5	0.6621898786
6	0.6575052055
7	0.6531916869
8	0.6490502242
9	0.6442912492
10	0.6405545598
11	0.6366277594
12	0.6324762644
13	0.6287000808
14	0.6259175863
15	0.6220596633
16	0.6185565361
17	0.6149871123
18	0.6117091593
19	0.6081255494
20	0.6052986944
21	0.602423961
22	0.5997277016
23	0.5969284745
24	0.5938506361
25	0.5911480142
26	0.5882083031
27	0.5866053691
28	0.5840931203
29	0.581696708
30	0.5794885092
31	0.5770521783
32	0.574904579
33	0.5727071463
34	0.5702897726
35	0.5684396974
36	0.5661748012
37	0.5643322885
38	0.5628777208
39	0.5610654023
40	0.5590731206
41	0.5573236976
42	0.5559966876
43	0.5543458572
44	0.5526584898
45	0.5512519783
46	0.5498361295
47	0.5482155597
48	0.5465777934
49	0.5449379323
50	0.543550841
51	0.542275178
52	0.5409213297
53	0.5394575234
54	0.538044166
55	0.5370032285
56	0.5355919871
57	0.5346095982
58	0.533344764
59	0.5321652085
60	0.5312907289
61	0.5303224488
62	0.5292655017
63	0.5283474547
64	0.5271511973
65	0.5259384326
66	0.5248942418
67	0.523936941
68	0.5227720751
69	0.5217269251
70	0.5210080381
71	0.5199983915
72	0.5187736376
73	0.5177354238
74	0.5167885562
75	0.5163381938
76	0.5154463683
77	0.5144876912
78	0.5134460672
79	0.5127289334
80	0.5119073266
81	0.51111274
82	0.5103231742
83	0.509638664
84	0.5091168101
85	0.5084483473
86	0.5078619187
87	0.5073919016
88	0.5067115496
89	0.5059634486
90	0.5052138392
91	0.5047203697
92	0.504029204
93	0.5032362442
94	0.5024340126
95	0.5016330218
96	0.5008636518
97	0.5005408225
98	0.499945294
99	0.4991643792
100	0.4985822837
101	0.4981774043
102	0.497716825
103	0.497252995
104	0.4968248655
105	0.4964740454
106	0.4958970248
107	0.495353217
108	0.4946954775
109	0.4941813127
110	0.4936805858
111	0.4929534893
112	0.4923600382
113	0.4916939191
114	0.4912672495
115	0.4908046083
116	0.4904392563
117	0.4898562043
118	0.4894039127
119	0.4890530431
120	0.4886420965
121	0.488462559
122	0.4880338324
123	0.4876596862
124	0.4871466035
125	0.4865271206
126	0.4862440819
127	0.4858401897
128	0.4854654701
129	0.4849207238
130	0.4844563491
131	0.4843413472
132	0.4837178795
133	0.4832220632
134	0.4828614725
135	0.4823915208
136	0.4820689099
137	0.481547465
138	0.4809522405
139	0.4804705778
140	0.4799033003
141	0.4796735243
142	0.479137041
143	0.4787379342
144	0.4786907786
145	0.4783264962
146	0.477919658
147	0.4776943089
148	0.4772940597
149	0.4767625882
150	0.4762982895
151	0.476029026
152	0.4755096422
153	0.4753466731
154	0.4750649674
155	0.4745030465
156	0.4740602309
157	0.4739908319
158	0.4736752563
159	0.4734138649
160	0.473072163
161	0.4727124726
162	0.4724182047
163	0.4722349759
164	0.471822059
165	0.4713312521
166	0.4712132619
167	0.4707232296
168	0.4702749848
169	0.4699079658
170	0.4695935091
171	0.469369295
172	0.468893435
173	0.4685930309
174	0.4681317558
175	0.4677179808
176	0.4674297155
177	0.4671495728
178	0.4669800588
179	0.4667894972
180	0.4663160751
181	0.4660433855
182	0.4657419841
183	0.4653549375
184	0.4649443885
185	0.4647976784
186	0.4645251399
187	0.4642217121
188	0.4637499956
189	0.4633020297
190	0.4630271634
191	0.4627055333
192	0.4624961661
193	0.4623209333
194	0.4620017912
195	0.4616265145
196	0.4613971343
197	0.4609927075
198	0.4606227944
199	0.4601641163
200	0.4598311575
201	0.4594950186
202	0.4591316097
203	0.4588603596
204	0.4586379499
205	0.4583094203
206	0.4580532167
207	0.4577056899
208	0.4574460045
209	0.457107245
210	0.4568760997
211	0.4566550346
212	0.4563053908
213	0.4558751322
214	0.4556246506
215	0.4552804524
216	0.4550689338
217	0.45493045
218	0.454699681
219	0.4544344333
220	0.4542173371
221	0.453971958
222	0.4537847974
223	0.4535339186
224	0.4532454572
225	0.452923093
226	0.4525975631
227	0.4523910567
228	0.4522359344
229	0.4520194526
230	0.451824064
231	0.4516233369
232	0.4513195865
233	0.451111266
234	0.450838928
235	0.4507110596
236	0.4504574858
237	0.4501229864
238	0.4498646395
239	0.4496847229
240	0.4495444089
241	0.4493743946
242	0.4491523766
243	0.4491299602
244	0.4489276057
245	0.4484850472
246	0.4482195993
247	0.4480589158
248	0.4477234541
249	0.4474221634
250	0.447237177
251	0.4470247054
252	0.4468716072
253	0.4467761136
254	0.4464056555
255	0.4460813973
256	0.445917391
257	0.4457132815
258	0.445499302
259	0.445493774
260	0.4452439624
261	0.4450891051
262	0.4447216615
263	0.4444474175
264	0.4441534774
265	0.4439790384
266	0.4439676915
267	0.4436572536
268	0.4434334477
269	0.4431213491
270	0.4428333282
271	0.4426155496
272	0.4424379705
273	0.4422086162
274	0.4421432764
275	0.441999284
276	0.4417358842
277	0.4415520492
278	0.4413080037
279	0.4409598619
280	0.440695709
281	0.4404929277
282	0.4402811347
283	0.4400347382
284	0.4398601518
285	0.4395009355
286	0.4392811375
287	0.4390333629
288	0.4388864835
289	0.438739939
290	0.4385893626
291	0.4384459192
292	0.4382673551
293	0.4382434008
294	0.4380791471
295	0.4378307899
296	0.437598535
297	0.437337624
298	0.4371671882
299	0.4369474414
300	0.4369404009
301	0.436753444
302	0.4367079914
303	0.436519991
304	0.4362195859
305	0.4359014616
306	0.4356468627
307	0.4356406726
308	0.435413919
309	0.4352955231
310	0.4351407239
311	0.4349033098
312	0.4347224447
313	0.4346268272
314	0.4343507028
315	0.4340699147
316	0.4338197515
317	0.4336903006
318	0.4334919823
319	0.4333840853
320	0.4331686024
321	0.4328976801
322	0.4326587109
323	0.4322969065
324	0.4322917453
325	0.4321573651
326	0.4320330858
327	0.4318091756
328	0.4316962187
329	0.4313988882
330	0.4311136348
331	0.4309145091
332	0.4307489344
333	0.4305416717
334	0.4304438506
335	0.4303538165
336	0.4301365052
337	0.4300434176
338	0.4297679965
339	0.4295322904
340	0.4293739371
341	0.4291651938
342	0.4290638764
343	0.4288327386
344	0.4287295833
345	0.4286724191
346	0.4283893734
347	0.4281123547
348	0.4279034916
349	0.4278337947
350	0.4277335323
351	0.427633975
352	0.4274085753
353	0.4273524404
354	0.4271709924
355	0.4270721886
356	0.4268348698
357	0.4267349171
358	0.4265090979
359	0.4262913127
360	0.4261960141
361	0.4261958927
362	0.4259864354
363	0.4256911657
364	0.4254451433
365	0.4254070679
366	0.4252488452
367	0.4250991065
368	0.4249021183
