,precision,recall,f1-score,support
0,0.6153846153846154,0.40641711229946526,0.4895330112721417,374.0
1,0.8089500860585198,0.9082125603864735,0.8557123350022758,1035.0
accuracy,0.7750177430801988,0.7750177430801988,0.7750177430801988,0.7750177430801988
macro avg,0.7121673507215676,0.6573148363429694,0.6726226731372088,1409.0
weighted avg,0.7575707489172564,0.7750177430801988,0.7585149843457322,1409.0
overall,,,0.8557123350022758,
